net,length_um
net1617,1158.65
net1281,1158.6
net1579,1158.13
net1650,1157.94
net1736,1157.67
net1230,1157.57
net1619,1157.53
net1243,1157.48
net1421,1157.06
net892,1154.12
net1729,1153.8
net1797,1153.24
net1163,1151.93
_05734_,1151.45
net867,1151.19
net1793,1150.24
net1261,1149.54
net1154,1149.03
net1229,1147.59
net1420,1147.54
net1576,1146.32
net1682,1145.81
net1157,1145.67
net1600,1145.16
net1137,1145.06
net1718,1144.69
net1744,1144.69
net1279,1144.55
net1730,1144.23
net1630,1143.87
net1798,1143.62
net1026,1143.48
net1614,1143.48
net1615,1142.55
soc.core.VexRiscv.IBusCachedPlugin_cache.io_mem_rsp_payload_data\[18\],1142.37
net1605,1141.89
net1723,1141.28
mgmt_buffers.mprj_adr_o_core\[18\],1140.46
net1728,1140.31
net1144,1140.22
net1725,1140.16
net1727,1139.8
net1479,1138.76
net1270,1138.44
net1623,1138.44
gpio_buf_mgmt_io_out_buf\[11\],1138.36
net1426,1138.02
net1141,1137.27
net1342,1137.23
net1635,1136.71
net1622,1136.44
net1628,1136.34
net1726,1133.49
net1627,1133.45
net684,1132.97
net1649,1132.18
net1624,1131.91
soc.core.VexRiscv._zz_dBus_cmd_payload_data\[6\],1131.62
_14532_,1131.55
net1716,1131.5
net1762,1131.4
net1601,1131.3
net1717,1131.2
soc.core.VexRiscv.IBusCachedPlugin_cache.io_mem_rsp_payload_data\[17\],1130.83
net1613,1130.79
net1585,1130.74
net1648,1130.5
soc.core.VexRiscv.IBusCachedPlugin_cache.io_mem_rsp_payload_data\[22\],1129.78
net930,1129.52
net1033,1129.43
net1720,1129.01
net1603,1128.55
net1007,1127.99
net1620,1127.94
net1629,1127.75
net1693,1127.75
gpio_buf_mgmt_io_out_buf\[3\],1127.19
net1030,1126.12
net1607,1125.75
net1721,1125.6
net1592,1125.04
net1715,1124.02
net640,1123.17
net1025,1122.86
_11873_,1122.72
net1719,1122.24
net1457,1121.64
user_io_out\[0\],1121.03
net926,1121.03
net449,1118.67
net526,1115.29
soc.core.VexRiscv.IBusCachedPlugin_cache.io_mem_rsp_payload_data\[24\],1115.2
net1586,1114.5
net1796,1113.33
net1019,1111.56
_09023_,1110.53
net913,1110.46
net832,1110.44
net1424,1110.22
soc.core.hk_ack,1109.78
net1722,1107.78
net1288,1107.64
net1580,1107.17
net1647,1106.98
net1134,1100.36
net912,1100.2
net1583,1099.94
net952,1099.76
net1161,1098.97
_05727_,1096.41
_15096_,1095.13
net1372,1093.66
mgmt_buffers.mprj_adr_o_core\[13\],1093.51
net1292,1091.86
soc.core.VexRiscv.IBusCachedPlugin_cache.io_mem_rsp_payload_data\[25\],1089.26
net1490,1088.47
net457,1085.37
net1686,1084.24
net1590,1084.16
net494,1081.12
net1467,1080.49
net1142,1078.76
net1685,1078.61
net1656,1078.42
net1661,1077.91
net1290,1076.74
net1286,1075.11
mgmt_buffers.mprj_adr_o_core\[19\],1072.79
net1028,1072.41
net898,1072.25
net1705,1070.63
net1658,1066.71
_09895_,1066.6
net1360,1064.28
net1158,1063.54
net1450,1062.7
net902,1062.65
mgmt_buffers.mprj_adr_o_core\[3\],1062.01
soc.core.hk_dat_i\[0\],1059.48
soc.core.dbg_uart_rx_data\[7\],1056.94
gpio_control_bidir_2\[2\].serial_data_in,1056.63
net1377,1055.23
net758,1050.95
soc.core.VexRiscv.IBusCachedPlugin_cache.io_mem_rsp_payload_data\[31\],1050.67
_09121_,1049.03
net1364,1045.49
mgmt_buffers.mprj_dat_o_core\[2\],1045.26
net637,1043.41
net1687,1041.46
net1451,1041.18
_14574_,1041.14
net1558,1039.6
soc.core.VexRiscv.IBusCachedPlugin_cache.io_cpu_decode_data\[12\],1037.14
net642,1037.08
net470,1034.84
_14559_,1034.25
gpio_control_in_1a\[3\].serial_load_out,1033.15
_11195_,1032.69
net613,1031.48
net980,1029.4
soc.core.bus_dat_r\[10\],1029.29
net986,1028.43
net783,1025.87
net706,1025.03
net545,1022.05
gpio_control_in_1a\[3\].serial_clock_out,1021.58
net604,1021.46
net1690,1020.74
net1143,1019.44
_14564_,1019.03
net625,1017.67
_09889_,1017.36
soc.core.VexRiscv._zz_execute_SRC2\[21\],1017.22
net505,1017.11
net846,1016.36
net45,1014.58
net1688,1014.16
net1706,1013.65
net1391,1013.09
soc.core.VexRiscv.IBusCachedPlugin_cache.io_cpu_decode_data\[13\],1013.01
net546,1011.59
soc.core.VexRiscv.IBusCachedPlugin_cache.io_mem_rsp_payload_data\[7\],1011.09
net894,1010.15
net699,1009.89
net1009,1008.66
net1678,1006.74
net1022,1006.28
mgmt_buffers.mprj_dat_i_user\[16\],1006.23
_09956_,1005.99
soc.core.VexRiscv.decode_to_execute_RS2\[27\],1005.35
net1320,1005.33
net542,1004.73
net1432,1003.52
net1472,1003.26
net1702,1002.31
net1533,997.06
mgmt_io_out_hk\[8\],996.71
mgmt_buffers.la_data_out_core\[2\],994.57
net1681,993.86
mgmt_buffers.mprj_adr_o_core\[26\],993.83
net1178,993.3
net1596,992.93
mgmt_buffers.mprj_dat_i_user\[22\],991.72
mgmt_io_out_hk\[13\],991.67
net1096,991.42
soc.core.bus_dat_r\[8\],990.5
soc.core.VexRiscv.IBusCachedPlugin_cache.io_mem_rsp_payload_data\[11\],987.79
_09818_,987.43
net1034,987.19
mgmt_buffers.mprj_dat_i_user\[17\],986.58
net478,986.49
gpio_buf_mgmt_io_out_buf\[4\],985.51
net730,985.46
net629,984.73
user_io_out\[32\],984.44
net1494,984.15
mgmt_buffers.mprj_adr_o_core\[20\],983.98
net968,983.8
net1493,982.36
net633,981.23
net1262,980.71
mgmt_io_out_hk\[6\],978.84
net1151,978.18
soc.core.VexRiscv.IBusCachedPlugin_cache.io_cpu_decode_data\[5\],977.83
mgmt_buffers.la_data_out_core\[3\],977.62
soc.core.la_oe_storage\[3\],977.08
mgmt_buffers.mprj_adr_o_core\[21\],976.7
user_io_out\[33\],975.48
net1786,971.75
net419,971.43
net923,971.27
mgmt_buffers.mprj_adr_o_core\[25\],970.41
_09794_,969.72
net721,968.52
net631,966.29
_11716_,965.49
net480,964.02
net777,963.45
net534,963.32
net729,961.3
gpio_control_in_1a\[3\].resetn_out,961.2
net1787,961.01
net984,959.62
mgmt_buffers.mprj_adr_o_core\[23\],959.53
net1257,959.19
net716,958.25
net1698,956.39
net1455,956.2
user_io_out\[34\],954.86
net756,954.53
net1783,954.39
soc.core.VexRiscv.IBusCachedPlugin_cache.io_mem_rsp_payload_data\[16\],951.99
net43,950.88
_09999_,950.47
_09800_,950.37
net1699,950.37
gpio_buf_mgmt_io_out_buf\[7\],949.77
_09880_,949.22
net1597,948.23
net725,946.71
net484,945.88
net915,945.5
gpio_control_in_2\[5\].serial_clock,945.03
net600,944.9
mgmt_buffers.mprj_dat_i_user\[20\],944.68
soc.core.VexRiscv.IBusCachedPlugin_cache.io_mem_rsp_payload_data\[1\],943.82
net1116,943.72
_14594_,943.38
soc.core.la_oe_storage\[2\],943.19
net497,942.78
net946,942.64
mgmt_buffers.mprj_adr_o_core\[22\],942.59
mgmt_buffers.mprj_dat_i_user\[18\],941.78
mgmt_buffers.mprj_adr_o_core\[2\],941.76
mgmt_buffers.la_data_out_core\[5\],940.76
soc.core.VexRiscv._zz_execute_SRC2\[17\],940.36
soc.core.VexRiscv.IBusCachedPlugin_cache.io_mem_rsp_payload_data\[29\],940.31
soc.core.bus_dat_r\[9\],940.2
net1799,938.52
soc.core.VexRiscv.IBusCachedPlugin_cache.io_mem_rsp_payload_data\[20\],938.42
